DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
11-Nov-2025,EQ,"515.70","521.65","512.65","515.45","519.00","519.95","518.03","577.00","433.30","14,78,112","76,57,13,547.00","28,983"
10-Nov-2025,EQ,"520.00","521.00","512.80","518.65","515.85","515.45","516.41","577.00","433.30","10,05,698","51,93,50,811.85","19,994"
07-Nov-2025,EQ,"522.00","522.00","512.50","523.70","519.00","518.65","517.93","577.00","433.30","17,54,801","90,88,72,430.45","26,184"
06-Nov-2025,EQ,"517.05","524.50","511.05","517.05","523.15","523.70","520.43","577.00","433.30","39,11,239","2,03,55,33,040.40","53,915"
04-Nov-2025,EQ,"502.30","519.95","501.95","503.30","516.50","517.05","514.17","577.00","433.30","53,22,219","2,73,65,22,441.85","58,625"
03-Nov-2025,EQ,"488.10","504.45","485.60","487.55","502.30","503.30","496.84","577.00","433.30","45,23,334","2,24,73,63,656.65","62,970"
31-Oct-2025,EQ,"502.90","502.95","486.70","501.55","488.10","487.55","490.78","577.00","433.30","49,80,727","2,44,44,18,950.40","70,152"
30-Oct-2025,EQ,"511.50","511.50","499.60","508.05","500.70","501.55","502.95","577.00","433.30","17,44,704","87,75,02,868.15","29,359"
29-Oct-2025,EQ,"503.40","508.90","501.80","503.40","508.50","508.05","506.73","577.00","433.30","18,80,484","95,28,94,262.70","18,945"
28-Oct-2025,EQ,"508.10","508.20","501.00","507.05","502.50","503.40","503.30","577.00","433.30","28,26,407","1,42,25,19,382.90","32,912"
27-Oct-2025,EQ,"508.50","510.20","504.70","508.45","506.40","507.05","507.96","577.00","433.30","32,58,720","1,65,53,02,668.10","38,446"
24-Oct-2025,EQ,"512.40","512.40","498.40","511.40","507.00","508.45","504.44","577.00","433.30","37,86,598","1,91,01,23,675.20","42,514"
23-Oct-2025,EQ,"507.00","515.00","505.30","506.40","511.00","511.40","511.73","577.00","433.30","36,93,389","1,89,00,14,719.30","47,263"
21-Oct-2025,EQ,"506.15","507.85","503.45","504.55","504.80","506.40","505.97","577.00","433.30","1,28,942","6,52,40,573.75","4,172"
20-Oct-2025,EQ,"511.10","511.10","503.50","508.35","505.85","504.55","505.75","577.00","433.30","8,24,259","41,68,68,724.55","18,155"
17-Oct-2025,EQ,"500.60","511.65","499.60","500.75","508.45","508.35","507.82","579.35","433.30","34,36,032","1,74,48,74,693.45","85,097"
16-Oct-2025,EQ,"493.90","502.00","493.90","493.15","500.10","500.75","498.87","579.35","433.30","12,36,003","61,66,08,130.75","24,189"
15-Oct-2025,EQ,"486.05","494.40","486.05","487.35","493.90","493.15","492.65","579.35","433.30","20,84,672","1,02,70,08,376.95","27,169"
14-Oct-2025,EQ,"487.75","489.75","484.55","487.75","486.85","487.35","487.82","579.35","433.30","16,11,549","78,61,52,171.30","20,909"
13-Oct-2025,EQ,"488.60","489.60","482.55","489.70","488.40","487.75","486.36","579.35","433.30","19,90,140","96,79,17,582.45","31,999"
10-Oct-2025,EQ,"485.40","490.85","485.40","485.40","489.90","489.70","489.45","581.15","433.30","16,13,675","78,98,08,582.35","20,526"
09-Oct-2025,EQ,"480.45","486.50","479.15","480.15","486.00","485.40","483.97","581.15","433.30","30,52,079","1,47,71,17,545.60","27,573"
08-Oct-2025,EQ,"485.00","493.20","479.15","492.25","479.60","480.15","485.96","581.15","433.30","36,27,391","1,76,27,74,175.45","40,348"
07-Oct-2025,EQ,"493.35","502.80","489.90","493.35","490.75","492.25","494.17","581.15","433.30","45,34,081","2,24,06,29,095.55","43,688"
06-Oct-2025,EQ,"495.50","497.75","491.80","496.15","493.75","493.35","493.63","581.15","433.30","26,81,852","1,32,38,32,395.05","19,885"
03-Oct-2025,EQ,"495.05","497.80","490.75","495.05","496.00","496.15","494.06","635.80","433.30","30,35,129","1,49,95,32,953.45","29,914"
01-Oct-2025,EQ,"491.30","496.00","483.65","491.30","494.50","495.05","490.09","635.80","433.30","24,43,402","1,19,74,86,183.20","45,591"
30-Sep-2025,EQ,"495.00","500.15","489.50","492.85","491.00","491.30","493.60","635.80","433.30","26,45,097","1,30,56,13,232.75","42,833"
29-Sep-2025,EQ,"497.75","501.70","490.55","499.75","497.00","492.85","493.30","635.80","433.30","1,76,85,374","8,72,42,25,765.60","77,707"
26-Sep-2025,EQ,"508.00","508.00","493.00","506.30","500.10","499.75","498.65","671.50","433.30","31,68,298","1,57,98,84,669.10","57,472"
25-Sep-2025,EQ,"517.80","521.85","505.15","517.80","507.45","506.30","512.84","671.50","433.30","23,56,326","1,20,84,20,239.00","45,145"
24-Sep-2025,EQ,"515.00","520.95","511.40","515.00","518.60","517.80","516.92","671.50","433.30","17,81,081","92,06,76,755.80","28,667"
23-Sep-2025,EQ,"522.00","522.00","512.65","522.05","515.40","515.00","515.62","671.50","433.30","34,66,804","1,78,75,36,396.35","36,559"
22-Sep-2025,EQ,"536.00","536.75","518.00","535.45","519.50","522.05","526.08","671.50","433.30","28,92,697","1,52,17,95,282.15","38,946"
19-Sep-2025,EQ,"536.95","542.80","532.70","536.30","535.70","535.45","535.95","672.00","433.30","24,11,369","1,29,23,75,044.00","35,907"
18-Sep-2025,EQ,"536.00","539.00","532.40","535.15","537.00","536.30","535.36","672.00","433.30","20,12,300","1,07,73,00,838.50","25,212"
17-Sep-2025,EQ,"537.55","539.50","532.20","535.70","536.00","535.15","535.03","672.00","433.30","8,22,210","43,99,05,004.50","13,780"
16-Sep-2025,EQ,"540.60","542.30","534.50","540.90","537.30","535.70","536.60","672.00","433.30","14,05,923","75,44,15,576.55","23,694"
15-Sep-2025,EQ,"536.50","542.60","536.50","538.85","542.15","540.90","540.09","672.00","433.30","8,37,561","45,23,54,508.40","16,380"
12-Sep-2025,EQ,"544.10","544.10","533.70","544.10","537.60","538.85","537.71","672.00","433.30","27,46,427","1,47,67,75,529.60","38,104"
11-Sep-2025,EQ,"547.25","548.40","543.00","547.50","544.20","544.10","544.72","672.00","433.30","8,91,836","48,57,98,446.65","22,589"
10-Sep-2025,EQ,"546.90","548.95","543.70","544.25","547.40","547.50","546.25","672.00","433.30","8,74,891","47,79,13,090.80","19,468"
09-Sep-2025,EQ,"546.25","547.40","539.25","546.20","544.50","544.25","542.68","672.00","433.30","19,37,685","1,05,15,46,122.65","30,003"
08-Sep-2025,EQ,"547.95","551.65","542.70","546.70","546.00","546.20","547.12","672.00","433.30","7,82,235","42,79,74,600.00","16,862"
05-Sep-2025,EQ,"553.80","555.85","542.35","552.70","547.05","546.70","548.24","672.00","433.30","14,89,345","81,65,21,789.30","28,912"
04-Sep-2025,EQ,"565.00","577.00","551.35","543.50","553.80","552.70","559.15","672.00","433.30","87,12,233","4,87,14,22,551.35","1,27,971"
